wallet,group,group_name,action,amount,currency,timestamp,ledger,tx_hash,explorer_url
GBOD3TRHDXKBFC2V3JBJ2ANMAGWUZCWJ2Y72NGL2UCFT5NDQCERRP7HL,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Withdrew collateral,0,XLM,2026-07-30T13:36:23.000Z,3879879,b9acc8ab0b7bc383b258cac04fefb41b45be6db43e78b6f8c9c61dac2d5b1c34,https://stellar.expert/explorer/testnet/tx/b9acc8ab0b7bc383b258cac04fefb41b45be6db43e78b6f8c9c61dac2d5b1c34
GDKFMZAH2VIRNLW5WUYLBTOJBQGO7ZOHDWMSHUEDY27QEOYXAJZJIFYP,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Claimed payout,20000000,XLM,2026-07-30T13:34:28.000Z,3879856,c8fde29f94aae565acc0066057d041e5b3bb163bd286d5b98dc362078f7cb090,https://stellar.expert/explorer/testnet/tx/c8fde29f94aae565acc0066057d041e5b3bb163bd286d5b98dc362078f7cb090
GBOD3TRHDXKBFC2V3JBJ2ANMAGWUZCWJ2Y72NGL2UCFT5NDQCERRP7HL,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Claimed payout,20000000,XLM,2026-07-30T13:34:23.000Z,3879855,775b10c82a6441a46722994176ed41fc108efa3f608ba06cfa007b3e66177b50,https://stellar.expert/explorer/testnet/tx/775b10c82a6441a46722994176ed41fc108efa3f608ba06cfa007b3e66177b50
GDKFMZAH2VIRNLW5WUYLBTOJBQGO7ZOHDWMSHUEDY27QEOYXAJZJIFYP,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Period resolved,20000000,XLM,2026-07-30T13:34:18.000Z,3879854,12e07ad2e35d496d4b3ee5de39a13fcaada963873295d4ea3516a7c5adfcd5d0,https://stellar.expert/explorer/testnet/tx/12e07ad2e35d496d4b3ee5de39a13fcaada963873295d4ea3516a7c5adfcd5d0
,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Period settled,20000000,XLM,2026-07-30T13:34:18.000Z,3879854,12e07ad2e35d496d4b3ee5de39a13fcaada963873295d4ea3516a7c5adfcd5d0,https://stellar.expert/explorer/testnet/tx/12e07ad2e35d496d4b3ee5de39a13fcaada963873295d4ea3516a7c5adfcd5d0
GDKFMZAH2VIRNLW5WUYLBTOJBQGO7ZOHDWMSHUEDY27QEOYXAJZJIFYP,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Contributed,10000000,XLM,2026-07-30T13:32:27.000Z,3879832,19cb813c7a8cf5685df720240c70a97e8506069303a406a26554ea0ead928c07,https://stellar.expert/explorer/testnet/tx/19cb813c7a8cf5685df720240c70a97e8506069303a406a26554ea0ead928c07
GBOD3TRHDXKBFC2V3JBJ2ANMAGWUZCWJ2Y72NGL2UCFT5NDQCERRP7HL,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Contributed,10000000,XLM,2026-07-30T13:32:22.000Z,3879831,c0b894ac309e40a5fdfca556ea50b10b214479c2743eb8acbeb6d6da00f9bc7b,https://stellar.expert/explorer/testnet/tx/c0b894ac309e40a5fdfca556ea50b10b214479c2743eb8acbeb6d6da00f9bc7b
GBOD3TRHDXKBFC2V3JBJ2ANMAGWUZCWJ2Y72NGL2UCFT5NDQCERRP7HL,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Period resolved,20000000,XLM,2026-07-30T13:32:22.000Z,3879831,c0b894ac309e40a5fdfca556ea50b10b214479c2743eb8acbeb6d6da00f9bc7b,https://stellar.expert/explorer/testnet/tx/c0b894ac309e40a5fdfca556ea50b10b214479c2743eb8acbeb6d6da00f9bc7b
,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Period settled,20000000,XLM,2026-07-30T13:32:22.000Z,3879831,c0b894ac309e40a5fdfca556ea50b10b214479c2743eb8acbeb6d6da00f9bc7b,https://stellar.expert/explorer/testnet/tx/c0b894ac309e40a5fdfca556ea50b10b214479c2743eb8acbeb6d6da00f9bc7b
,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Group started,1785418242,XLM,2026-07-30T13:30:42.000Z,3879811,1a67fc60450cc869d8496540c880273b1421b7bfc8442867b9255cc8974361c2,https://stellar.expert/explorer/testnet/tx/1a67fc60450cc869d8496540c880273b1421b7bfc8442867b9255cc8974361c2
GDKFMZAH2VIRNLW5WUYLBTOJBQGO7ZOHDWMSHUEDY27QEOYXAJZJIFYP,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Contributed,10000000,XLM,2026-07-30T13:30:42.000Z,3879811,1a67fc60450cc869d8496540c880273b1421b7bfc8442867b9255cc8974361c2,https://stellar.expert/explorer/testnet/tx/1a67fc60450cc869d8496540c880273b1421b7bfc8442867b9255cc8974361c2
GBOD3TRHDXKBFC2V3JBJ2ANMAGWUZCWJ2Y72NGL2UCFT5NDQCERRP7HL,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,Contributed,10000000,XLM,2026-07-30T13:30:37.000Z,3879810,fa2efa6e325f0687222b75e68a241c5e4b7161bd1a2aeec8c60abf8919a1c0b0,https://stellar.expert/explorer/testnet/tx/fa2efa6e325f0687222b75e68a241c5e4b7161bd1a2aeec8c60abf8919a1c0b0
,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,up_cancel,,XLM,2026-07-30T13:30:32.000Z,3879809,abf6eeb93d306b75d5436561030a004b3fbf309c30941766336bc0102689bc9c,https://stellar.expert/explorer/testnet/tx/abf6eeb93d306b75d5436561030a004b3fbf309c30941766336bc0102689bc9c
,CAEI762NKT6ZKSKU4TNYDK3PR27SSY5JDOB5TZLEM2PPF6ATAJZ6U2W3,E2E cycle,up_prop,1785591027,XLM,2026-07-30T13:30:27.000Z,3879808,ea2f37b19d510228074c41dcbff18a5df01798925e4f9d0e5a5ca12a5abe8420,https://stellar.expert/explorer/testnet/tx/ea2f37b19d510228074c41dcbff18a5df01798925e4f9d0e5a5ca12a5abe8420
